noise_pct,fault_change_pct,fault_section,unit_location_accuracy_pct,group_location_accuracy_pct,unit_amplitude_mae_pct,group_amplitude_mae_pct
0.05,5.0,1,100.0,100.0,6.216077045641969,5.517998889847942
0.05,5.0,2,100.0,99.0,17.353994618987727,1.718655165298908
0.05,5.0,3,100.0,100.0,8.512829208203874,82.3743522259864
0.05,5.0,4,100.0,100.0,9.719571572328606,27.76992447491927
0.05,10.0,1,100.0,100.0,5.270686165506561,4.713799232558948
0.05,10.0,2,100.0,100.0,38.69952928992444,17.161771835120113
0.05,10.0,3,87.5,100.0,24.87222150144872,142.93700933590367
0.05,10.0,4,100.0,100.0,13.338703451936453,18.375640663586342
0.2,5.0,1,96.5,100.0,24.4821175636742,22.193851930702007
0.2,5.0,2,96.5,76.0,27.478917694497195,2.483188971176955
0.2,5.0,3,87.0,100.0,23.89866649225555,82.58217896785742
0.2,5.0,4,92.5,84.5,34.32614132321661,27.77712700072212
0.2,10.0,1,100.0,100.0,12.337491668709632,11.66321785614432
0.2,10.0,2,100.0,100.0,38.087517766676704,17.103591582360256
0.2,10.0,3,59.5,100.0,25.47262676167655,142.90674280894027
0.2,10.0,4,99.5,100.0,21.34527369236607,18.457725262299153
0.5,5.0,1,63.0,94.0,57.83566921588954,49.36247364675322
0.5,5.0,2,64.0,64.0,65.54755092605386,5.776232025381744
0.5,5.0,3,69.5,97.0,53.21518991116421,83.122043170869
0.5,5.0,4,59.5,62.5,81.24421662419927,27.61276755390775
0.5,10.0,1,89.5,100.0,30.708456716756636,27.595593708367186
0.5,10.0,2,97.0,86.5,44.64028927441022,17.495605707645232
0.5,10.0,3,48.0,100.0,29.054850611957157,142.6647177625975
0.5,10.0,4,89.0,86.0,38.49980151707112,18.94455887810591
