strategy,coarse_sections_per_winding,boundaries,port_error_percent,resonance_error_percent,missing_resonances,observed_resonance_error_percent,observed_missing_resonances,reference_resonance_count,candidate_resonance_count,spurious_resonances,internal_peak_error_percent,internal_peak_reference_node,internal_peak_candidate_node,internal_peak_location_distance,adjacent_voltage_stress_error_percent,reference_stress_branch,candidate_stress_branch,matrix_dimension,offline_reduction_seconds,runtime_seconds,speedup_vs_reference,meets_all_accuracy_targets
uniform,2,0-12-24,4.361470554694604e-05,0.03510280602867318,0,0.009148126942996299,0,1,1,0,0.734605504249217,1,1,0,9.12130937539267,22,12,4,0.0001007999999274034,0.014222499999959837,6.3866971348583315,False
physical,2,0-11-24,3.127174175151223e-05,0.03562489429373918,0,0.009274068086436228,0,1,1,0,0.7049644003244424,1,1,0,9.975271293543504,22,12,4,9.18999999157677e-05,0.014390099999673112,6.312311936840573,False
information_guided,2,0-1-24,5.931964584100714e-05,0.09059051190808717,0,0.021961512495126803,0,1,1,0,0.15354972632421043,1,1,0,14.612425364303691,22,0,4,6.500000017695129e-05,0.01330790000019988,6.825629888930771,False
uniform,4,0-6-12-18-24,9.944170656290028e-06,0.011265042382439566,0,0.0030201098477216823,0,1,1,0,0.45266728311099264,1,1,0,2.1531097813559787,22,22,8,6.430000030377414e-05,0.013123000000177854,6.921801417285304,False
physical,4,0-4-11-16-24,1.0996294644775085e-05,0.008548289057643505,0,0.002300538216055233,0,1,1,0,0.31128778780105415,1,1,0,4.091651743291193,22,17,8,7.49000000723754e-05,0.014128600000276492,6.429143722554854,False
information_guided,4,0-1-5-9-24,1.803896284764265e-05,0.02452924461590814,0,0.006462529349977998,0,1,1,0,0.03499672583862272,1,1,0,11.127638923424554,22,7,8,7.409999989249627e-05,0.01432810000005702,6.339626328676141,False
uniform,6,0-4-8-12-16-20-24,4.090720763737454e-06,0.005194990452872116,0,0.0014026559334719716,0,1,1,0,0.30281658757797864,1,1,0,0.7338468424298464,22,20,12,8.309999975608662e-05,0.0156302999998843,5.811455954200399,False
physical,6,0-4-8-11-16-20-24,3.590828548256025e-06,0.0055371631600057486,0,0.0014941552590166096,0,1,1,0,0.3031843334654585,1,1,0,0.7358453698444005,22,20,12,0.00012849999984609894,0.020767999999861786,4.373786594803093,False
information_guided,6,0-1-5-9-11-18-24,3.1478763471226875e-06,0.006686196528184885,0,0.0018012470548462742,0,1,1,0,0.01294423158431563,1,1,0,2.106270284717673,22,20,12,7.670000013604295e-05,0.021555199999966135,4.214055077216116,False
uniform,8,0-3-6-9-12-15-18-21-24,2.146614283358673e-06,0.002336544074742595,0,0.0006330604759639707,0,1,1,0,0.2043262750454718,1,1,0,0.44894901026925216,22,22,16,9.700000009615906e-05,0.01939509999965594,4.683389103530143,False
physical,8,0-2-4-8-11-14-16-20-24,2.849017383470086e-06,0.002058905737966929,0,0.0005584590243624592,0,1,1,0,0.10469394993356027,1,1,0,0.7199860831967033,22,21,16,0.00012210000022605527,0.01896409999972093,4.789829203685006,False
information_guided,8,0-1-5-6-9-11-18-21-24,2.5368554339137307e-06,0.006076279843792338,0,0.0016377452357256687,0,1,1,0,0.011884740214610178,1,1,0,0.5113501984668604,22,22,16,0.00013209999997343402,0.021658600000137085,4.193936819540099,True
uniform,12,0-2-4-6-8-10-12-14-16-18-20-22-24,7.907032847152512e-07,0.0009845875241958541,0,0.00026717054669914484,0,1,1,0,0.10247250152619852,1,1,0,0.5212065202976129,22,22,24,9.679999993750243e-05,0.022188500000083877,4.093778308579793,False
physical,12,0-2-4-6-9-11-13-14-16-18-20-22-24,1.3497549226616057e-06,0.0010624559590548509,0,0.00028845781534089825,0,1,1,0,0.10266541286661537,1,1,0,0.5277440975362292,22,22,24,0.0001351000000795466,0.022184399999787274,4.094534898448329,False
information_guided,12,0-1-2-4-5-6-8-9-11-14-18-21-24,4.810617558874578e-07,0.001140536254550391,0,0.0003092145116636511,0,1,1,0,0.0018875369461851597,1,1,0,0.4407869806258056,22,22,24,9.309999995821272e-05,0.020096700000067358,4.519886349498259,True
