frequency_hz,fro_relative_error
1000,5.14640358224797e-12
1079.77516232771,3.5307571388681e-12
1165.91440117983,7.09926164945102e-12
1258.92541179417,1.04759150594222e-11
1359.35639087853,5.24599634522026e-12
1467.79926762207,4.18346506342126e-12
1584.89319246111,5.33144980062071e-12
1711.32830416178,5.85293433577683e-12
1847.84979742229,5.77980697415367e-12
1995.26231496888,6.46214589079526e-12
2154.43469003188,9.60489263277141e-12
2326.30506715363,6.20358373136675e-12
2511.88643150958,8.33519101582549e-12
2712.27257933203,3.88599245998169e-12
2928.64456462524,6.15564105817354e-12
3162.27766016838,6.76779837306682e-12
3414.5488738336,8.07969789754348e-12
3686.94506451957,4.16858837312698e-12
3981.07170553497,4.61596572453458e-12
4298.66234708228,8.25725970245529e-12
4641.58883361278,6.64998235826993e-12
5011.87233627273,7.22480674080028e-12
5411.69526546464,1.10248012760552e-11
5843.41413373518,7.19730867787479e-12
6309.57344480193,8.3194756119371e-12
6812.92069057962,5.00270736020821e-12
7356.42254459641,9.41188542524125e-12
7943.28234724281,5.88480886030349e-12
8576.95898590895,5.708443813365e-12
9261.18728128794,5.90701774895921e-12
10000,1.17734891175282e-11
10797.7516232771,4.17393527733394e-12
11659.1440117983,1.42977455329286e-11
12589.2541179417,1.01078270345852e-11
13593.5639087852,1.57864635546324e-11
14677.9926762207,1.20539754406519e-11
15848.9319246111,1.10800632336457e-11
17113.2830416178,1.28547850792809e-11
18478.4979742229,9.31073597795546e-12
19952.6231496888,1.0899837868384e-11
21544.3469003188,1.78736118878559e-11
23263.0506715363,1.73356002458548e-11
25118.8643150958,1.57820180413002e-11
27122.7257933203,1.0433714915401e-11
29286.4456462524,2.00212974400835e-11
31622.7766016838,1.59921064577055e-11
34145.488738336,2.02906581372336e-11
36869.4506451957,1.86670175092783e-11
39810.7170553497,1.71746786434708e-11
42986.6234708227,2.85206499439592e-11
46415.8883361278,5.84598720629549e-11
50118.7233627273,3.0508521266275e-11
54116.9526546464,4.20749796947169e-11
58434.1413373517,2.3104968425481e-11
63095.7344480193,4.7586916503429e-11
68129.2069057961,3.89694756175584e-11
73564.2254459642,4.97895573766237e-11
79432.8234724282,6.13862754565517e-11
85769.5898590895,5.58318877013007e-11
92611.8728128794,4.8053388776547e-11
100000,7.44700342924375e-11
107977.516232771,4.9977627527538e-11
116591.440117983,8.47549587622308e-11
125892.541179417,5.35497582364664e-11
135935.639087852,9.28759976743898e-11
146779.926762207,1.19857299394256e-10
158489.319246111,9.33070804169397e-11
171132.830416178,1.55156934557627e-10
184784.979742229,1.43603473501899e-10
199526.231496888,1.18214199601589e-10
215443.469003189,1.78597022497035e-10
232630.506715363,2.67111215663841e-10
251188.643150958,1.20618473278541e-10
271227.257933203,2.4063404340802e-10
292864.456462524,2.18939646982637e-10
316227.766016838,1.29949015814242e-10
341454.88738336,3.4650989167357e-10
368694.506451957,1.2861602648882e-10
398107.170553497,3.22088186945667e-10
429866.234708227,2.8157122175048e-10
464158.883361277,2.58230654142214e-10
501187.233627272,6.77522749024152e-10
541169.526546464,3.72185839613912e-10
584341.413373518,3.03612526873398e-10
630957.344480193,4.65020484635727e-10
681292.069057962,4.10328495937084e-10
735642.254459642,5.40348644035859e-10
794328.234724282,6.44689821079076e-10
857695.898590895,5.84784363417274e-10
926118.728128794,6.57692512727046e-10
1000000,6.11671705463945e-10
1079775.16232771,4.36465907624283e-10
1165914.40117983,6.44324257924687e-10
1258925.41179417,7.64656026252061e-10
1359356.39087852,6.23936087160511e-10
1467799.26762207,1.65006323140482e-09
1584893.19246111,9.54713812839692e-10
1711328.30416178,8.95659089960088e-10
1847849.79742229,8.06547227517667e-10
1995262.31496888,8.15815922090605e-10
2154434.69003189,1.34251386259007e-09
2326305.06715363,1.69913890242405e-09
2511886.43150958,2.27207948566757e-09
2712272.57933203,1.63571927156857e-09
2928644.56462524,2.0813982742394e-09
3162277.66016838,2.57671319150827e-09
3414548.8738336,1.93734119854622e-09
3686945.06451957,3.45426848266043e-09
3981071.70553497,2.81748046741616e-09
4298662.34708227,2.63246834470373e-09
4641588.83361277,2.66004441396093e-09
5011872.33627272,4.52144225689143e-09
5411695.26546464,2.38480618458628e-09
5843414.13373518,5.04421696766202e-09
6309573.44480193,2.7935578622749e-09
6812920.69057962,5.56145949572822e-09
7356422.54459642,5.81073665232217e-09
7943282.34724282,4.51789762143935e-09
8576958.98590895,6.0473625013011e-09
9261187.28128794,9.67430602288421e-09
10000000,5.58427623782388e-09
