frequency_hz,fro_relative_error
1000,3.50249050383777e-11
1079.77516232771,2.70969300757658e-11
1165.91440117983,4.35335789574648e-11
1258.92541179417,2.63462826493553e-11
1359.35639087853,3.15434892688314e-11
1467.79926762207,5.78748914314768e-11
1584.89319246111,2.95076776418946e-11
1711.32830416178,4.03543161101937e-11
1847.84979742229,4.07598367114382e-11
1995.26231496888,3.46211680903056e-11
2154.43469003188,2.42440180156327e-11
2326.30506715363,2.55446781792706e-11
2511.88643150958,2.7673264652482e-11
2712.27257933203,3.76519497633416e-11
2928.64456462524,3.55700980666014e-11
3162.27766016838,3.35812157757996e-11
3414.5488738336,7.13201173994165e-11
3686.94506451957,5.29092988765125e-11
3981.07170553497,5.33278645475092e-11
4298.66234708228,7.43304442294572e-11
4641.58883361278,5.0325505550134e-11
5011.87233627273,4.99889657785919e-11
5411.69526546464,5.24661644264832e-11
5843.41413373518,2.5859666855821e-11
6309.57344480193,2.78600290089748e-11
6812.92069057962,4.93737682254343e-11
7356.42254459641,5.47144595217241e-11
7943.28234724281,5.41582744861592e-11
8576.95898590895,8.13695616947898e-11
9261.18728128794,5.16908505272234e-11
10000,8.59825279683701e-11
10797.7516232771,6.27525201550577e-11
11659.1440117983,1.07894924921819e-10
12589.2541179417,7.5399820893089e-11
13593.5639087852,1.11412878203576e-10
14677.9926762207,6.27968637486568e-11
15848.9319246111,7.30766818426102e-11
17113.2830416178,6.25673410276959e-11
18478.4979742229,1.47473908201788e-10
19952.6231496888,7.55125394659808e-11
21544.3469003188,1.40631111348124e-10
23263.0506715363,9.28119292152193e-11
25118.8643150958,1.45555096908436e-10
27122.7257933203,1.21890711849522e-10
29286.4456462524,2.20711180941843e-10
31622.7766016838,1.23332005202335e-10
34145.488738336,2.09568321434792e-10
36869.4506451957,1.76165328397316e-10
39810.7170553497,1.9011278016828e-10
42986.6234708227,1.97009866165195e-10
46415.8883361278,3.00650301310765e-10
50118.7233627273,1.85834630378351e-10
54116.9526546464,4.15964081940628e-10
58434.1413373517,3.61062636005525e-10
63095.7344480193,3.37700666339227e-10
68129.2069057961,7.14485750137128e-10
73564.2254459642,4.690267885362e-10
79432.8234724282,3.22430107175308e-10
85769.5898590895,6.93712057892166e-10
92611.8728128794,3.81368480626142e-10
100000,3.92899586147231e-10
107977.516232771,4.79024280213656e-10
116591.440117983,9.34640991851732e-10
125892.541179417,4.8342724158741e-10
135935.639087852,1.14027620118738e-09
146779.926762207,6.41200348551411e-10
158489.319246111,9.93710803302422e-10
171132.830416178,1.33369395191066e-09
184784.979742229,9.75806868286815e-10
199526.231496888,9.79207872868735e-10
215443.469003189,1.51819725326371e-09
232630.506715363,1.13288861731849e-09
251188.643150958,9.67746410138557e-10
271227.257933203,1.36468656691616e-09
292864.456462524,1.71040917816913e-09
316227.766016838,2.30945054768595e-09
341454.88738336,1.6641550865974e-09
368694.506451957,1.54461716679668e-09
398107.170553497,2.36952000979486e-09
429866.234708227,1.3926916862304e-09
464158.883361277,2.29497117670817e-09
501187.233627272,3.13898193726122e-09
541169.526546464,3.28139489519502e-09
584341.413373518,2.75679091181938e-09
630957.344480193,2.24236063669754e-09
681292.069057962,4.05990620736735e-09
735642.254459642,4.08076332692014e-09
794328.234724282,4.99297414717558e-09
857695.898590895,5.83059609987563e-09
926118.728128794,3.11924137954893e-09
1000000,3.98444857607016e-09
1079775.16232771,6.85344871992266e-09
1165914.40117983,7.84405308776189e-09
1258925.41179417,3.9442648150255e-09
1359356.39087852,8.54687820467654e-09
1467799.26762207,8.88730583520255e-09
1584893.19246111,7.10864235123311e-09
1711328.30416178,1.90814992244704e-08
1847849.79742229,9.3594649070985e-09
1995262.31496888,8.75147250251548e-09
2154434.69003189,9.61981100977152e-09
2326305.06715363,1.18255155696826e-08
2511886.43150958,1.64430357598965e-08
2712272.57933203,8.2423832494921e-09
2928644.56462524,1.31408132897418e-08
3162277.66016838,1.15379005864718e-08
3414548.8738336,3.73087815736811e-08
3686945.06451957,1.50299398012261e-08
3981071.70553497,1.98668956859718e-08
4298662.34708227,2.84501646048096e-08
4641588.83361277,1.70510845830933e-08
5011872.33627272,2.15340127567655e-08
5411695.26546464,5.6443614969426e-08
5843414.13373518,3.84458737409209e-08
6309573.44480193,2.46016975170013e-08
6812920.69057962,2.67464157835156e-08
7356422.54459642,3.62323952586114e-08
7943282.34724282,3.91496031863426e-08
8576958.98590895,5.68855784216847e-08
9261187.28128794,7.36816174356651e-08
10000000,1.37238913665761e-07
