split,index,n,fs_hz,phase_deg,voltage_ratio_scale,edge_time_s,load_proxy,target_mode,reciprocity,min_real_y_eig,kcl
train,0,4,27286.49421720371,16.276549614753506,0.9634044602149572,1.557826510144558e-07,0.08066527815908196,residual,6.6671180517865e-16,1.0692506187773574e-06,3.682119936616265e-12
train,1,8,22778.7532678042,21.63725068648421,0.9944234293816405,6.178471374669902e-08,0.12824752608883558,residual,2.2315206618374916e-15,6.422193094835182e-07,2.4283519182169842e-11
train,2,4,15051.844540838396,18.110246987791058,0.9434858260126802,1.0803306633509084e-07,0.15755851494549364,residual,3.202372833989377e-15,2.2547468889222398e-06,8.580155856231254e-12
train,3,8,29819.482752440745,9.590554635275723,1.0187198124467745,1.954304768820388e-07,0.04786791623336888,residual,1.1112850348086691e-15,5.251906107701964e-07,1.828061726177273e-11
train,4,4,22305.146628055536,22.357548867897112,0.9031823688125096,1.6545180863449627e-07,0.12235457848146569,residual,2.5121479338940403e-15,9.581211027893463e-07,4.547473508864641e-12
train,5,6,16000.868441256533,6.6600957588715115,1.0516500248439038,1.3573439451552338e-07,0.0650517818295552,residual,2.5121479338940403e-15,1.6246408929447125e-06,1.4580309236299762e-11
train,6,4,17450.54162694159,14.269408632427313,0.9639681304253003,1.4566335956034502e-07,0.11199919702251361,residual,1.8971499361070192e-15,1.1741570623545341e-06,7.298128296362863e-12
train,7,8,16382.277283622096,9.017766037785806,1.0726514647747638,1.0826044925120446e-07,0.08655393107617979,residual,2.2215299868541707e-15,1.868091840278035e-06,7.499885442698834e-12
train,8,6,22486.513299799943,22.47745684738598,0.9859646946129381,5.986134019766784e-08,0.13310109252156607,residual,7.774348620928472e-16,9.816214861347545e-07,8.134767913360665e-12
train,9,4,16151.224040859315,26.640673713801295,0.9637187916918079,1.0343946828555485e-07,0.20900312055794742,residual,1.6011864169946886e-15,2.565601515727375e-06,8.134767913360665e-12
train,10,6,24905.308061822994,11.268400784765989,1.0482199119839155,8.63687373018904e-08,0.06860751420651648,residual,6.866350197783357e-16,6.017406246699695e-07,7.770726138294351e-12
train,11,4,29977.795011690498,21.452129252025536,0.9206091269155241,1.9751058497295422e-07,0.08954862022250563,residual,1.7772239894833365e-15,4.0411541021948775e-07,1.8331451766013172e-12
train,12,4,25870.67601433184,34.80644420467851,0.9979149813496779,8.398402718745359e-08,0.16712647533207994,residual,2.2247786310271853e-16,5.455211811280465e-07,3.0505379675102492e-12
train,13,8,16820.824386820535,11.463118073630277,1.0484308868798053,8.982303982505306e-08,0.10323875053605458,residual,2.701289205785704e-15,1.725551338710219e-06,4.478741994624263e-11
train,14,8,28484.926522580772,34.6279254328712,0.9089596442697813,1.6429732254756808e-07,0.13771760115374734,residual,1.9389211565826717e-15,6.62372488384909e-07,1.0289757937229989e-11
train,15,6,16313.619457968924,31.13155415978901,1.0787569500642962,5.092968886003871e-08,0.26274183273187135,residual,1.4895204919483639e-15,2.8797192976969473e-06,8.580155856231254e-12
train,16,8,28566.97905715405,26.19654400066184,0.9044163578565559,8.835951264887357e-08,0.1093620584399191,residual,2.6852712547870858e-15,5.265707607613514e-07,1.4999770885397668e-11
train,17,4,19949.302273362024,24.132131383861754,0.9219739134577887,1.7600477325427213e-07,0.14903754540047523,residual,1.734223803652547e-15,1.1904301709474377e-06,4.2309225286609024e-12
train,18,8,22353.8951211839,6.538743349959745,1.0176290351101982,1.8268682872629765e-07,0.04426755642565963,residual,4.572178254219405e-15,1.4220902916207637e-06,1.4999770885397668e-11
train,19,8,28059.810538857884,16.258676591193762,1.0927512220978957,1.9066447686182055e-07,0.08888583245450213,residual,1.336885555457667e-15,6.698587321469938e-07,1.472847974646506e-11
train,20,6,20914.82395075845,31.09338023021707,1.066825210489916,1.7678775912722835e-07,0.20247597021134586,residual,2.808666774861361e-15,1.2005637991412695e-06,9.668061295755842e-12
train,21,4,19818.42731932809,23.17168129938941,0.901428705320526,1.5722657929794687e-07,0.14170876646911953,residual,3.179194921382489e-15,1.3407227050828384e-06,9.674075226714563e-12
