budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.2,0,4,distance,3.2821156118961226e-06,1.7237567849037186e-07,42.34315167474657,3.839825724429182e-05,1.0,0.0,0.1875
0.2,0,4,magnitude,3.726688338315445e-06,2.124773139651782e-07,46.589983337753026,4.708758100432565e-05,1.0,0.0,0.1875
0.2,0,4,fisher_proxy,2.9809718786239585e-06,2.4280777064211005e-07,44.58686414824038,5.0819976349176084e-05,1.0,0.0,0.1875
0.2,0,4,oracle_edge_current,3.2821156118961226e-06,1.7237567849037186e-07,42.34315167474657,3.839825724429182e-05,1.0,0.0,0.1875
0.2,0,4,learned_gate,2.9809718786239585e-06,2.4280777064211005e-07,44.58686414824038,5.0819976349176084e-05,1.0,0.0,0.1875
0.2,1,6,distance,6.325328526734022e-06,3.191452368122434e-07,62.414012670181705,5.1180048461571386e-05,1.0,0.0,0.19444444444444442
0.2,1,6,magnitude,6.10687102981719e-06,3.2543337227302675e-07,61.38833467856186,4.846873958719113e-05,1.0,0.0,0.19444444444444442
0.2,1,6,fisher_proxy,4.630205305028445e-06,3.733185822303498e-07,56.00480551250463,4.786911236315702e-05,1.0,0.0,0.19444444444444442
0.2,1,6,oracle_edge_current,4.806268721201795e-06,3.3377336681331827e-07,55.12124366213072,4.366228358279011e-05,1.0,0.0,0.19444444444444442
0.2,1,6,learned_gate,4.806268721201795e-06,3.3377336681331827e-07,55.12124366213072,4.366228358279011e-05,1.0,0.0,0.19444444444444442
0.2,2,8,distance,2.9831529013387334e-06,1.7955698047522014e-07,65.08398810098078,1.9935365103807706e-05,1.0,0.0,0.203125
0.2,2,8,magnitude,2.691216246466718e-06,1.6520639409187102e-07,60.55153132058375,1.7498370297775747e-05,1.0,0.0,0.203125
0.2,2,8,fisher_proxy,2.356413526537754e-06,1.635141315032793e-07,56.66468772452856,1.620081947471555e-05,1.0,0.0,0.203125
0.2,2,8,oracle_edge_current,2.284188016273003e-06,1.644759843117973e-07,56.1724566348498,1.574286713171323e-05,1.0,0.0,0.203125
0.2,2,8,learned_gate,2.2199007781630032e-06,1.73544792408693e-07,56.23650198445601,1.64366652018941e-05,1.0,0.0,0.203125
0.2,3,4,distance,3.37062654761471e-06,1.9460210898440272e-07,43.436836350253195,4.457639177810502e-05,1.0,0.0,0.1875
0.2,3,4,magnitude,6.148942284725743e-06,1.6120336045745213e-07,61.88696717345042,4.082351379444541e-05,1.0,0.0,0.1875
0.2,3,4,fisher_proxy,3.321461822496328e-06,2.89964243360456e-07,49.31132320018597,6.106391583177914e-05,1.0,0.0,0.1875
0.2,3,4,oracle_edge_current,3.37062654761471e-06,1.9460210898440272e-07,43.436836350253195,4.457639177810502e-05,1.0,0.0,0.1875
0.2,3,4,learned_gate,3.37062654761471e-06,1.9460210898440272e-07,43.436836350253195,4.457639177810502e-05,1.0,0.0,0.1875
0.2,4,6,distance,3.4957137291268444e-06,1.9753674959203783e-07,55.992692087621045,2.978882913600169e-05,1.0,0.0,0.19444444444444442
0.2,4,6,magnitude,3.5882266523430453e-06,1.9900984743042242e-07,56.208243260773514,3.133009781672134e-05,1.0,0.0,0.19444444444444442
0.2,4,6,fisher_proxy,2.8123424241993656e-06,2.6379180854853854e-07,57.124629203503915,3.0794758432041044e-05,1.0,0.0,0.19444444444444442
0.2,4,6,oracle_edge_current,2.8573598211372128e-06,2.067474869862245e-07,51.13062346495416,2.846911455442684e-05,1.0,0.0,0.19444444444444442
0.2,4,6,learned_gate,2.688459660910719e-06,2.1881771844665358e-07,51.958566093988765,2.6170244579213394e-05,1.0,0.0,0.19444444444444442
