case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0,4,distance,2.834108632580242e-06,1.0577576470233367e-07,30.604527595044456,2.9383825523781607e-05,1.0,0.0,0.375
0,4,magnitude,1.6546374104538241e-06,1.0439174824618019e-07,21.43636358242488,2.386384566498813e-05,1.0,0.0,0.375
0,4,fisher_proxy,1.3066512893769067e-06,1.1109648734994209e-07,22.347923940993965,1.8082817003661038e-05,1.0,0.0,0.375
0,4,oracle_edge_current,1.6546374104538241e-06,1.0439174824618019e-07,21.43636358242488,2.386384566498813e-05,1.0,0.0,0.375
0,4,learned_gate,1.6546374104538241e-06,1.0439174824618019e-07,21.43636358242488,2.386384566498813e-05,1.0,0.0,0.375
1,6,distance,3.467412981078208e-06,1.9502292013940612e-07,36.29156329829091,2.7852397925897345e-05,1.0,0.0,0.38888888888888884
1,6,magnitude,3.2942247215658747e-06,1.7338265343970375e-07,34.272546186099056,2.540475541868575e-05,1.0,0.0,0.38888888888888884
1,6,fisher_proxy,2.2984969737531216e-06,2.1037053332505633e-07,32.00985976414783,2.4019362655539728e-05,1.0,0.0,0.38888888888888884
1,6,oracle_edge_current,2.5335998599471804e-06,1.779832191450066e-07,30.731414544897216,2.221415334882399e-05,1.0,0.0,0.38888888888888884
1,6,learned_gate,2.5335998599471804e-06,1.779832191450066e-07,30.731414544897216,2.221415334882399e-05,1.0,0.0,0.38888888888888884
2,8,distance,1.6695432674460226e-06,9.750291605356506e-08,37.32940260402812,1.0502555231575516e-05,1.0,0.0,0.40625
2,8,magnitude,1.6695432674460226e-06,9.750291605356506e-08,37.32940260402812,1.0502555231575516e-05,1.0,0.0,0.40625
2,8,fisher_proxy,1.0689505262084844e-06,1.0104268718678709e-07,32.00154685544035,8.091872475555733e-06,1.0,0.0,0.40625
2,8,oracle_edge_current,1.1153582029960544e-06,9.186927238443973e-08,31.157137061311257,7.637063943934018e-06,1.0,0.0,0.40625
