case_id,electrostatic_energy_J,magnetic_energy_J
1,7.046563394755983e-12,4.385931771814018e-08
2,9.444090094899418e-12,4.455800917736227e-08
3,9.454875464460533e-12,4.455782674465778e-08
4,7.056581302418610e-12,4.385982508967649e-08
5,7.228804499463206e-12,4.044802503345010e-08
6,1.066611026412049e-11,4.106324959547852e-08
7,1.066750971830411e-11,4.106310779500633e-08
8,7.230379096560386e-12,4.044921923453722e-08
9,9.308434553033393e-12,1.573379018191048e-07
10,1.643779599436285e-11,1.437579366153565e-07
11,1.409726328923164e-11,1.332496884810573e-07
12,1.235799422716645e-11,1.393693483610218e-07
13,1.722396755177441e-11,1.377530182017232e-07
14,1.764649390923335e-11,1.319461812381063e-07
15,1.425277941995616e-11,1.248848316982992e-07
16,1.178845117545722e-11,1.587119193642440e-07
17,1.643702049819107e-11,1.437583046161718e-07
18,1.621162891938616e-11,1.378678081350320e-07
19,1.908141246081994e-11,1.419513188016246e-07
20,1.968961838110862e-11,1.390981475692200e-07
21,1.662412690573453e-11,1.320607965532513e-07
22,9.308154691020899e-12,1.573377065806317e-07
23,1.663332319561866e-11,1.320596325239535e-07
24,1.969917011937392e-11,1.390981336483533e-07
25,1.909337152432895e-11,1.419507988622598e-07
26,1.622422860995799e-11,1.378682074512437e-07
27,1.426125300965388e-11,1.248840775422623e-07
28,1.765513316871612e-11,1.319465525028010e-07
29,1.723506105764304e-11,1.377529069252916e-07
30,1.237004241612832e-11,1.393701800335151e-07
31,8.598211866588826e-12,1.417407806503387e-07
32,1.748773267082836e-11,1.292531056222286e-07
33,1.419338351023748e-11,1.206727166807408e-07
34,1.234850977575098e-11,1.429462157405763e-07
35,1.748774719215679e-11,1.292542857011648e-07
36,8.598808674026935e-12,1.417417825161839e-07
