case_id,electrostatic_energy_J,magnetic_energy_J
1,7.010609391747218e-12,4.393782227531661e-08
2,9.415341392737297e-12,4.461498817337207e-08
3,9.408920666726641e-12,4.461519374917231e-08
4,7.004016437299489e-12,4.393789835654703e-08
5,7.179060225260205e-12,4.051992527446458e-08
6,1.061853485445804e-11,4.111206028818073e-08
7,1.061314264434025e-11,4.111223951936041e-08
8,7.173882243718492e-12,4.051985335971113e-08
9,9.280410501961606e-12,1.575858139027734e-07
10,1.635583979557511e-11,1.440041238472111e-07
11,1.400873814824417e-11,1.335151551845905e-07
12,1.228535513836502e-11,1.396292708831219e-07
13,1.714090120501633e-11,1.379860236856808e-07
14,1.755613578025893e-11,1.321760279280383e-07
15,1.416034989728128e-11,1.251338857169406e-07
16,1.173603481851390e-11,1.589346317075253e-07
17,1.635568394050520e-11,1.440039775081452e-07
18,1.613354858761129e-11,1.381009213235211e-07
19,1.900506573710320e-11,1.421594092062610e-07
20,1.960654484508344e-11,1.393054562571713e-07
21,1.653895649074990e-11,1.322895485347664e-07
22,9.279124511835183e-12,1.575861979717137e-07
23,1.653770137802460e-11,1.322898411919360e-07
24,1.960552437343120e-11,1.393054833031193e-07
25,1.899340469078199e-11,1.421597770053396e-07
26,1.612207137245602e-11,1.381010157312723e-07
27,1.415894677896011e-11,1.251340300560198e-07
28,1.755490956893646e-11,1.321759113162193e-07
29,1.712888994028699e-11,1.379862484072768e-07
30,1.227386484382578e-11,1.396292049878259e-07
31,8.580188961371861e-12,1.419570163297888e-07
32,1.738430359325974e-11,1.294678647647361e-07
33,1.408847031825782e-11,1.209071459590254e-07
34,1.226312055952322e-11,1.431379585679982e-07
35,1.738446729525283e-11,1.294675998599101e-07
36,8.580100404020617e-12,1.419571274373263e-07
