case_id,electrostatic_energy_J,magnetic_energy_J
1,7.023724470686126e-12,4.389579548172763e-08
2,9.430879730357763e-12,4.458508225479521e-08
3,9.440812373201342e-12,4.458498791057139e-08
4,7.032247507687723e-12,4.389744451475531e-08
5,7.196399587025116e-12,4.047956990063935e-08
6,1.063592558256956e-11,4.108680407852587e-08
7,1.064261687766162e-11,4.108673207274096e-08
8,7.202583889866497e-12,4.047970046983859e-08
9,9.302908189222901e-12,1.574550001244071e-07
10,1.640092691711864e-11,1.438747378282830e-07
11,1.405009377931190e-11,1.333763716604624e-07
12,1.230608524667617e-11,1.394904696827235e-07
13,1.717106982790077e-11,1.378643471838977e-07
14,1.759876707307189e-11,1.320557002299841e-07
15,1.420217518015755e-11,1.250000647848108e-07
16,1.175739713284228e-11,1.588192831577309e-07
17,1.639949209455334e-11,1.438765403476282e-07
18,1.616631532329475e-11,1.379769114822916e-07
19,1.903803720732442e-11,1.420513296226973e-07
20,1.965151774716239e-11,1.391977879830043e-07
21,1.658310794746592e-11,1.321673710694179e-07
22,9.303873794397304e-12,1.574564235070061e-07
23,1.658695475377495e-11,1.321671539445628e-07
24,1.965465747699493e-11,1.391977944530414e-07
25,1.905439130116281e-11,1.420511506853388e-07
26,1.618218605101799e-11,1.379768669369838e-07
27,1.420452182859338e-11,1.250015795576729e-07
28,1.760063172046053e-11,1.320573627789397e-07
29,1.718629678080549e-11,1.378657502266614e-07
30,1.232171948959101e-11,1.394920541305725e-07
31,8.596528244680677e-12,1.418411659811260e-07
32,1.743054211166570e-11,1.293534090721667e-07
33,1.413343303189919e-11,1.207790303206549e-07
34,1.229300923776284e-11,1.430390096163713e-07
35,1.742994943197900e-11,1.293535885377506e-07
36,8.596167576282413e-12,1.418407483978157e-07
