node_i,node_j,capacitance_F
P1,P2,7.182218936622014e-12
P1,P3,6.364286485365838e-14
P1,P4,5.881407942954144e-15
P1,S1,1.917373667052743e-12
P1,S2,4.887061071020734e-13
P1,S3,6.757920382674546e-14
P1,S4,2.416307136021984e-14
P2,P3,7.110514383902727e-12
P2,P4,6.365089912696918e-14
P2,S1,4.612656749764710e-13
P2,S2,1.028787898199976e-12
P2,S3,4.219814320949117e-13
P2,S4,5.034228572528569e-14
P3,P4,7.203302075858238e-12
P3,S1,5.035676830507877e-14
P3,S2,4.218156092071049e-13
P3,S3,1.029013658435697e-12
P3,S4,4.610259510629337e-13
P4,S1,2.413279222794811e-14
P4,S2,6.755839782298872e-14
P4,S3,4.890299630796888e-13
P4,S4,1.916917982850679e-12
S1,S2,9.296702896994868e-12
S1,S3,4.085815469389539e-13
S1,S4,2.658000857861226e-13
S2,S3,8.985110206673621e-12
S2,S4,4.087421685240888e-13
S3,S4,9.299080140837568e-12
