case_id,field_energy_J
1,7.046563394755983e-12
2,9.444090094899424e-12
3,9.454875464460528e-12
4,7.056581302418610e-12
5,7.228804499463205e-12
6,1.066611026412049e-11
7,1.066750971830411e-11
8,7.230379096560389e-12
9,9.308434553033393e-12
10,1.643779599436285e-11
11,1.409726328923164e-11
12,1.235799422716645e-11
13,1.722396755177440e-11
14,1.764649390923335e-11
15,1.425277941995615e-11
16,1.178845117545722e-11
17,1.643702049819107e-11
18,1.621162891938616e-11
19,1.908141246081994e-11
20,1.968961838110862e-11
21,1.662412690573453e-11
22,9.308154691020900e-12
23,1.663332319561865e-11
24,1.969917011937391e-11
25,1.909337152432894e-11
26,1.622422860995798e-11
27,1.426125300965387e-11
28,1.765513316871611e-11
29,1.723506105764303e-11
30,1.237004241612832e-11
31,8.598211866588828e-12
32,1.748773267082836e-11
33,1.419338351023747e-11
34,1.234850977575098e-11
35,1.748774719215679e-11
36,8.598808674026933e-12
