case_id,magnetic_energy_J
1,4.385931771814017e-8
2,4.455800917736227e-8
3,4.455782674465778e-8
4,4.385982508967649e-8
5,4.044802503345010e-8
6,4.106324959547851e-8
7,4.106310779500633e-8
8,4.044921923453722e-8
9,1.573379018191048e-7
10,1.437579366153565e-7
11,1.332496884810573e-7
12,1.393693483610219e-7
13,1.377530182017232e-7
14,1.319461812381063e-7
15,1.248848316982992e-7
16,1.587119193642440e-7
17,1.437583046161718e-7
18,1.378678081350321e-7
19,1.419513188016246e-7
20,1.390981475692201e-7
21,1.320607965532513e-7
22,1.573377065806317e-7
23,1.320596325239535e-7
24,1.390981336483533e-7
25,1.419507988622598e-7
26,1.378682074512437e-7
27,1.248840775422623e-7
28,1.319465525028010e-7
29,1.377529069252916e-7
30,1.393701800335151e-7
31,1.417407806503387e-7
32,1.292531056222286e-7
33,1.206727166807408e-7
34,1.429462157405763e-7
35,1.292542857011648e-7
36,1.417417825161839e-7
