node_i,node_j,edge_class,capacitance_F,retained
P1,P2,IT,7.182218936622014e-12,1
P1,P3,same_layer_nonadjacent,6.364286485365839e-14,0
P1,P4,same_layer_nonadjacent,5.8814079429541435e-15,0
P1,S1,WW,1.917373667052743e-12,1
P1,S2,WW,4.887061071020734e-13,1
P1,S3,WW,6.757920382674546e-14,1
P1,S4,WW,2.4163071360219843e-14,1
P2,P3,IT,7.110514383902727e-12,1
P2,P4,same_layer_nonadjacent,6.365089912696919e-14,0
P2,S1,WW,4.61265674976471e-13,1
P2,S2,WW,1.028787898199976e-12,1
P2,S3,WW,4.2198143209491174e-13,1
P2,S4,WW,5.034228572528569e-14,1
P3,P4,IT,7.203302075858238e-12,1
P3,S1,WW,5.035676830507877e-14,1
P3,S2,WW,4.218156092071049e-13,1
P3,S3,WW,1.029013658435697e-12,1
P3,S4,WW,4.610259510629337e-13,1
P4,S1,WW,2.413279222794811e-14,1
P4,S2,WW,6.755839782298873e-14,1
P4,S3,WW,4.890299630796888e-13,1
P4,S4,WW,1.916917982850679e-12,1
S1,S2,IT,9.296702896994868e-12,1
S1,S3,same_layer_nonadjacent,4.085815469389539e-13,0
S1,S4,same_layer_nonadjacent,2.658000857861226e-13,0
S2,S3,IT,8.985110206673621e-12,1
S2,S4,same_layer_nonadjacent,4.0874216852408884e-13,0
S3,S4,IT,9.299080140837568e-12,1
