sample_id,g_ps_mm,g_turn_mm,z_offset_s_mm,mesh_hauto,electrostatic_8case_time_s,magnetic_36case_time_s,C_symmetry,L_symmetry,C_min_eigenvalue_F,L_min_eigenvalue_H,C_offdiag_max_F
g00_gps1_gt0p15_zo0,1.0,0.15,0.0,3,14.597839699999895,47.16700630000196,1.5922305703763733e-16,0.0,2.085080583417857e-12,1.136731019353903e-08,-2.9992508484374443e-15
g01_gps1_gt0p15_zo0p625,1.0,0.15,0.625,3,10.489332000002833,46.03306340000199,1.3517758071137536e-16,0.0,2.0953946044636336e-12,1.1621419491902049e-08,-2.7524332461184342e-15
g02_gps1_gt0p25_zo0,1.0,0.25,0.0,3,10.336015200000475,45.25037849999717,8.98577344656918e-17,0.0,2.145547198366446e-12,1.2590006094155821e-08,-2.439018263007094e-15
g03_gps1_gt0p25_zo0p625,1.0,0.25,0.625,3,10.501644899999519,44.99521949999871,1.7789111165873449e-16,0.0,2.1546483354069012e-12,1.2936628417379832e-08,-2.2007742454482648e-15
g04_gps1p5_gt0p15_zo0,1.5,0.15,0.0,3,10.392820499999289,45.25963729999057,9.377350858864103e-17,0.0,2.066972705614354e-12,1.1684469244536525e-08,-7.97528242381831e-15
g05_gps1p5_gt0p15_zo0p625,1.5,0.15,0.625,3,10.42155389999607,45.342193100006625,1.3690390113132904e-16,0.0,2.0730802239065828e-12,1.1721234925953018e-08,-7.966015985866526e-15
g06_gps1p5_gt0p25_zo0,1.5,0.25,0.0,3,10.276660800000172,44.9067457000001,1.4627499527092555e-16,0.0,2.1231220856409466e-12,1.3034189204453969e-08,-5.878199062006128e-15
g07_gps1p5_gt0p25_zo0p625,1.5,0.25,0.625,3,10.138825500001985,45.48796449999827,1.303461452969366e-16,0.0,2.1280929004118072e-12,1.3091633321815676e-08,-5.814840499156006e-15
g08_gps2_gt0p15_zo0,2.0,0.15,0.0,3,10.241983700005221,45.778649400004724,1.5166474725741878e-16,0.0,2.051355889033801e-12,1.1744997457169656e-08,-1.966292077985073e-14
g09_gps2_gt0p15_zo0p625,2.0,0.15,0.625,3,10.373723299997437,45.13543369999934,1.0745550969387922e-16,0.0,2.0549170028077032e-12,1.1749818390648382e-08,-1.9996666925895562e-14
g10_gps2_gt0p25_zo0,2.0,0.25,0.0,3,10.279007199998887,46.52184890000717,1.5456843804443613e-16,0.0,2.1036577955063073e-12,1.3126170599644146e-08,-1.4969233508696378e-14
g11_gps2_gt0p25_zo0p625,2.0,0.25,0.625,3,10.873794399998587,46.246079200003805,3.2493121602912803e-16,0.0,2.106758101741122e-12,1.3134269931492098e-08,-1.5164150150366963e-14
