sample_id,g_ps_mm,g_turn_mm,z_offset_mm,IT_total_pF,WW_total_pF,TC_total_pF,L_min_uH,L_main_uH,C_sym,L_sym
g00_gps1_gt0p15_zo0,1.0,0.15,0.0,69.70512163370086,12.157482313271277,18.101658729458613,0.011367310193539043,0.48496116635958947,9.693522803355793e-27,0.0
g01_gps1_gt0p15_zo0p625,1.0,0.15,0.625,69.77921001969074,11.819465788545088,18.24545403576055,0.01162141949190212,0.4828223552970869,9.693522803355793e-27,0.0
g02_gps1_gt0p25_zo0,1.0,0.25,0.0,46.349076747794236,12.785310043282244,18.745038671928455,0.01259000609415582,0.47651258573162,3.2311742677852644e-27,0.0
g03_gps1_gt0p25_zo0p625,1.0,0.25,0.625,46.38250976608848,12.454682336764128,18.887237673773384,0.012936628417379826,0.474521972653628,4.8467614016778965e-27,0.0
g04_gps1p5_gt0p15_zo0,1.5,0.15,0.0,72.67397664967623,8.463120133483999,18.501764233330498,0.011684469244536567,0.4673503142897622,9.693522803355793e-27,0.0
g05_gps1p5_gt0p15_zo0p625,1.5,0.15,0.625,72.7098220929909,8.29916986545617,18.59435399310896,0.011721234925952976,0.46552778232033365,9.693522803355793e-27,0.0
g06_gps1p5_gt0p25_zo0,1.5,0.25,0.0,48.905540407657675,8.912325120768108,19.143232765672895,0.013034189204453926,0.4594343134018535,4.0389678347315804e-27,0.0
g07_gps1p5_gt0p25_zo0p625,1.5,0.25,0.625,48.9233485537244,8.746744412412983,19.231594241745682,0.013091633321815682,0.4577303031424163,4.8467614016778965e-27,0.0
g08_gps2_gt0p15_zo0,2.0,0.15,0.0,75.01086008752303,6.561666397619184,18.85762330691059,0.01174499745716963,0.45209874461934507,9.693522803355793e-27,0.0
g09_gps2_gt0p15_zo0p625,2.0,0.15,0.625,75.02848041871388,6.463182877965146,18.9216776813306,0.01174981839064835,0.4505228457713141,1.1309109937248425e-26,0.0
g10_gps2_gt0p25_zo0,2.0,0.25,0.0,50.736303211003865,6.912655483953035,19.496421931429254,0.013126170599644169,0.44457335367946554,5.6545549686242126e-27,0.0
g11_gps2_gt0p25_zo0p625,2.0,0.25,0.625,50.77928000452818,6.812993132307192,19.559795517184643,0.013134269931492092,0.443088264606814,9.693522803355793e-27,0.0
