edge,turn_i,turn_j,true_C,pred_C,true_M,pred_M,score_C,score_M
0,1,2,0.17755374312400818,0.0,0.0,-0.0,0.9797552824020386,0.0776405781507492
1,1,3,0.0,0.0,0.06619081646203995,-0.0,-1.4144017696380615,0.17750471830368042
2,1,4,0.0,0.0,0.0,-0.030680790543556213,-3.143622875213623,0.44281911849975586
3,1,5,0.0,-0.0,0.0,0.0,0.6887214183807373,-0.07912991940975189
4,1,6,0.0,0.0,0.0,-0.0,0.151792973279953,0.21643657982349396
5,1,7,0.0,0.0,0.0,-0.01966746710240841,-1.0166420936584473,0.252021849155426
6,1,8,0.0,0.0,0.0,-0.005542117170989513,-1.98307204246521,0.370000958442688
7,2,3,0.04537959769368172,0.0,0.0,-0.0,0.9776302576065063,0.07685068994760513
8,2,4,0.0,0.0,0.0,-0.0,-1.4142520427703857,0.17751598358154297
9,2,5,0.0,-0.0,0.0,0.0,0.22548750042915344,-0.24684689939022064
10,2,6,0.0,-0.0,0.0,0.0,0.3907366693019867,-0.06076920032501221
11,2,7,-0.12009247392416,0.0,0.0,-0.0,0.04230637103319168,0.19823767244815826
12,2,8,0.0,0.0,0.0,-0.0,-1.1597803831100464,0.20545846223831177
13,3,4,0.0,0.022667938843369484,0.0,-0.0,0.9808001518249512,0.07798841595649719
14,3,5,0.0,-0.0,0.05750981718301773,0.0,-0.9130007028579712,-0.20031090080738068
15,3,6,0.0,-0.0,-0.023101603612303734,0.0,0.1617719829082489,-0.2382122427225113
16,3,7,0.0,-0.0,0.0,0.0,0.3908040225505829,-0.0607706680893898
17,3,8,0.0,0.0,0.033718615770339966,-0.0,0.1278635710477829,0.21277190744876862
18,4,5,0.0,-0.0,0.0,-0.0,-2.660142183303833,0.04074620455503464
19,4,6,0.0,-0.0,0.0,0.0,-0.8081923723220825,-0.22597824037075043
20,4,7,0.0,-0.0,0.0,0.0,0.2431170642375946,-0.24953092634677887
21,4,8,0.0,-0.0,0.0,0.0,0.6883593797683716,-0.07909829914569855
22,5,6,0.0,0.019565315917134285,0.0,-0.0,1.0579456090927124,0.10515915602445602
23,5,7,-0.14865121245384216,0.0,0.0,-0.0,-0.4514126181602478,0.22172904014587402
24,5,8,0.0,-0.0,0.0,-0.004910804331302643,-1.0047149658203125,0.39135026931762695
25,6,7,0.0,0.019864851608872414,0.0,-0.0,1.0503644943237305,0.10251262784004211
26,6,8,0.0,0.0,0.0,-0.0,-0.4513080418109894,0.22174400091171265
27,7,8,0.0,0.019541526213288307,0.0,-0.0,1.0585880279541016,0.10537638515233994
