graph,seed,case,noise,method,response_error,full_parameter_rmse,active_parameter_mae,identifiable_coordinate_error,estimate_norm
10,0,0,0.001,full56,0.04774319920707093,0.03193294420354071,0.06679680035608962,0.04810149095283579,0.05444047592082694
10,0,0,0.001,group5,0.09641556093136146,0.032293375573415994,0.06916310489414068,0.56526642267533,0.04826071535616887
10,0,0,0.001,fisher3,0.047813729408783416,0.03193332642228914,0.06679164257941977,0.052197533053367565,0.05461357895106047
10,0,0,0.001,fisher8,0.047813735686427154,0.03193322463774462,0.06679125869721561,0.05219753305336754,0.05461357947697661
10,0,0,0.001,oracle8,0.05334221974749011,0.028334863729547948,0.0513653082144494,0.059217005263322534,0.11653373041614823
10,0,0,0.003,full56,0.04726351379263556,0.03207097281616579,0.06702721173589662,0.39377460812280696,0.059971592911227646
10,0,0,0.003,group5,0.09598353908661016,0.03259812229322709,0.06928359158437505,0.81194860949323,0.06120915638721018
10,0,0,0.003,fisher3,0.048208180148506294,0.03212539145126001,0.06703683202343308,0.4641688010934158,0.062008561435739434
10,0,0,0.003,fisher8,0.04820819553937265,0.03212531522873464,0.06703652119152725,0.4641688010934161,0.06200856218538037
10,0,0,0.003,oracle8,0.053146295513348506,0.028332750698955845,0.051506351079042195,0.08789469752876439,0.12007146815201367
10,0,0,0.01,full56,0.09938152969724182,0.03905050325761492,0.07212823517937744,2.955957776532736,0.1744549291564003
10,0,0,0.01,group5,0.12447595958350616,0.03989807113582102,0.07389633971266502,3.1054835616144616,0.17543253453803945
10,0,0,0.01,fisher3,0.10583399596470357,0.040941073193630786,0.07309545957690927,3.3693556498205237,0.19659485861308373
10,0,0,0.01,fisher8,0.10583448760163647,0.0409417116341303,0.0730979479276487,3.369355649820524,0.19659487846696305
10,0,0,0.01,oracle8,0.08439081616921516,0.03154608447776158,0.06974388751022548,0.8394834495828878,0.13463239221152776
10,0,1,0.001,full56,0.027729044001764333,0.03520028059799569,0.0663228816370615,0.07845054346209604,0.049512852400899435
10,0,1,0.001,group5,0.13576594566488487,0.035482992632535765,0.0690443979803515,0.7159014687265256,0.04309870873838074
10,0,1,0.001,fisher3,0.027314430130600777,0.035197374446891194,0.06622304844381954,0.04228618262407905,0.05016245985776936
10,0,1,0.001,fisher8,0.027314412627874964,0.03519778733591995,0.06622381627011795,0.042286182624078954,0.05016246037971091
10,0,1,0.001,oracle8,0.02650538235488411,0.033933119236372176,0.05961394629461335,0.03843352313301696,0.09074427594465707
10,0,1,0.003,full56,0.04044669332735855,0.03542302823361008,0.06609835872795326,0.5887931250452805,0.07058662157526363
10,0,1,0.003,group5,0.1369932755401585,0.03608731946996361,0.06685228087811104,1.1929872180840484,0.0755109450267735
10,0,1,0.003,fisher3,0.04207081223384255,0.035534971991556724,0.06610528915016363,0.7202572288822506,0.07530695168805085
10,0,1,0.003,fisher8,0.0420707984609612,0.035535754750255756,0.0661064088873037,0.7202572288822511,0.07530695280138099
10,0,1,0.003,oracle8,0.03374152147781561,0.03423997516690488,0.06175161858675522,0.24354413053698348,0.08830446075972802
10,0,1,0.01,full56,0.09880585364597283,0.03582191527041356,0.0666299589545574,0.9807404415843055,0.07689534609003908
10,0,1,0.01,group5,0.16426167429773705,0.036594442616098344,0.06649908115995595,1.4825520772358542,0.09012028304684631
10,0,1,0.01,fisher3,0.10233310916179755,0.03607930694133999,0.06664291186835065,1.1673624340473516,0.08536561816965164
10,0,1,0.01,fisher8,0.10233332018542482,0.03608065783558752,0.06664579999955327,1.167362434047352,0.08536562225139685
10,0,1,0.01,oracle8,0.07865951054481264,0.0340205709024723,0.061022866300216694,0.19392828417674926,0.08652427189079427
10,0,2,0.001,full56,0.03441906330430188,0.028670819848513673,0.062097336459798536,0.481635253069972,0.026930626891670764
10,0,2,0.001,group5,0.16076803799892486,0.028829180658532502,0.06295523679916348,0.6674987206651795,0.019494047108564574
10,0,2,0.001,fisher3,0.03091136415690746,0.028639182096129808,0.061858723302341635,0.42436661937975734,0.02866210149362099
10,0,2,0.001,fisher8,0.030911375708955444,0.028639032384528387,0.06185883633775836,0.4243666193797572,0.02866210517021021
10,0,2,0.001,oracle8,0.029654167220842305,0.025550032175540728,0.05139969694519023,0.07339117500527156,0.09723082236465619
10,0,2,0.003,full56,0.028761037882564282,0.02857642379830463,0.06141894872168021,0.27818848370520616,0.03496138609559337
10,0,2,0.003,group5,0.15835551839642634,0.028716965965098113,0.06217472985510361,0.5073747937621998,0.027544288331782428
10,0,2,0.003,fisher3,0.02608708698904999,0.02855178188220165,0.06123418485334424,0.1926582192344845,0.038011751631109814
10,0,2,0.003,fisher8,0.026087088926788814,0.028551742251350966,0.06123398812025174,0.19265821923448445,0.03801175190727353
10,0,2,0.003,oracle8,0.01359426590576238,0.02554007346570304,0.0518678879614199,0.04866715621122125,0.10996069157617301
10,0,2,0.01,full56,0.335444949684689,0.02907965693167227,0.060923712489266826,0.952557144916058,0.06573371528920048
10,0,2,0.01,group5,0.18386297215583464,0.02912851766352179,0.059640035570928576,0.9497613020113701,0.07826996706994178
10,0,2,0.01,fisher3,0.3381413111287367,0.029235581921589197,0.0604994436191097,1.0804380475140585,0.07434334944488126
10,0,2,0.01,fisher8,0.3381415818535422,0.029235009453489322,0.06049694876725816,1.0804380475140585,0.07434337240417815
10,0,2,0.01,oracle8,0.3118580834251703,0.03220903501679621,0.07102715007118353,1.295539858530424,0.05941559599509074
10,0,3,0.001,full56,0.022502492719908333,0.03604592612389841,0.07608553083848327,0.4692839944213375,0.03788817082703685
