graph,index,singular_value
10,1,5.332627838113162
10,2,0.6718512186682268
10,3,0.10996215654433995
10,4,1.1162856098894615e-06
10,5,2.793110621757175e-07
10,6,1.5832654426032803e-07
10,7,4.620581357896641e-08
10,8,1.101304541174181e-08
10,9,6.44073974224439e-10
10,10,4.578826846433981e-10
10,11,1.1413959775627009e-10
10,12,9.591587683351541e-11
10,13,9.054736692953933e-11
10,14,8.811166552845898e-11
10,15,6.910283243113454e-11
10,16,6.260506405974851e-11
10,17,5.208668631946121e-11
10,18,4.872619621527331e-11
10,19,4.3714341715618164e-11
10,20,4.006355519084776e-11
10,21,3.328420336134539e-11
10,22,3.0432644629220446e-11
10,23,2.955587849696187e-11
10,24,2.4333597702103356e-11
10,25,2.2102672747230948e-11
10,26,2.003413908590421e-11
10,27,1.7927794709337596e-11
10,28,1.5615002966139392e-11
10,29,1.1769582048073606e-11
10,30,1.129954421721136e-11
10,31,9.475135980927525e-12
10,32,8.615939977022605e-12
10,33,7.641008863897007e-12
10,34,6.960206572464482e-12
10,35,6.243352950921032e-12
10,36,5.474426454304825e-12
10,37,5.302642726082721e-12
10,38,3.775433881933867e-12
10,39,3.360398615587899e-12
10,40,2.7969220453261506e-12
10,41,2.7801281427143825e-12
10,42,2.3792189699468024e-12
10,43,2.0672033395448852e-12
10,44,1.7068345264093561e-12
10,45,1.298577138078482e-12
10,46,1.2019513082803656e-12
10,47,8.650655224857781e-13
10,48,6.820683200635734e-13
11,1,5.237657710224374
11,2,0.6717675952162281
11,3,0.11201766656899316
11,4,1.1051172481021817e-06
11,5,2.792988591809584e-07
11,6,1.601202284264942e-07
11,7,4.4866526356105544e-08
11,8,1.1025817221351052e-08
11,9,6.61819310424671e-10
11,10,4.172397805858182e-10
11,11,1.164730602151391e-10
11,12,9.307920684464462e-11
11,13,8.974792116380374e-11
11,14,8.845520576099495e-11
11,15,7.715490729102338e-11
11,16,7.430921291347235e-11
11,17,6.40447994985188e-11
11,18,5.6453184949713454e-11
11,19,4.017582912112517e-11
11,20,3.643563265064632e-11
11,21,3.1394172546407723e-11
11,22,3.0397175548054277e-11
11,23,2.8208648148738035e-11
11,24,2.3695628222317707e-11
11,25,2.1642603483833414e-11
11,26,1.7784464170173273e-11
11,27,1.5742628044144016e-11
11,28,1.5232546321524653e-11
11,29,1.2953673747682047e-11
11,30,1.1294129501984865e-11
11,31,1.0005385661917813e-11
11,32,8.870359991887465e-12
11,33,7.466743640859661e-12
11,34,7.146789299456142e-12
11,35,6.816388698510577e-12
11,36,5.729671489710082e-12
11,37,4.886303597403345e-12
11,38,3.963509405696329e-12
11,39,3.4444746582917643e-12
11,40,2.9058403241326925e-12
11,41,2.5211357469875143e-12
11,42,2.1612538428571917e-12
11,43,2.0919963340405322e-12
11,44,1.623015561445371e-12
11,45,1.569469686150809e-12
11,46,1.3654051886995254e-12
11,47,1.031243729656997e-12
11,48,6.638624139075722e-13
