,,graph,graph,seed,seed,case,case,response_error,response_error,full_parameter_rmse,full_parameter_rmse,active_parameter_mae,active_parameter_mae,identifiable_coordinate_error,identifiable_coordinate_error,estimate_norm,estimate_norm
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
noise,method,,,,,,,,,,,,,,,,
0.001,fisher3,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.0505483898121228,0.09905162572200801,0.031142248330539097,0.0057855848037927085,0.06819638807521128,0.014600029303236653,0.7330497138805251,6.13241633193471,0.03490337458256071,0.01666777126533826
0.001,fisher8,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.0505483885909953,0.09905162391496944,0.031142250569559982,0.005785579735066848,0.06819639873981857,0.014600012804940632,0.733049713880525,6.132416331934708,0.03490337522153402,0.01666777090077032
0.001,full56,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.048898799968680566,0.09068122748757947,0.031139722483891057,0.005786385179938039,0.06829605754622024,0.01460145453408556,0.6579176403192538,5.385964897768897,0.03331060100197547,0.016014140268306897
0.001,group5,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.20555185181933594,0.23210320071979718,0.0313016217341542,0.005765859288894684,0.06905302706703882,0.01465124527150696,1.0521922730386228,5.999003834427563,0.02921475710105889,0.015388195870077215
0.001,oracle8,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.04844982070007663,0.05240390237841325,0.029327941264417956,0.006111354031686893,0.06034533085176668,0.014946715494628057,0.21740257912868766,0.9936137916945036,0.07789691263573517,0.036181891794037
0.003,fisher3,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.1302620026323805,0.287397317492251,0.031335415170642825,0.005753066814459838,0.06822530979953637,0.014577441559968604,1.375362932847053,5.604027068751552,0.042499783245392664,0.02064070870292083
0.003,fisher8,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.13026199494455892,0.2873972644770591,0.03133542854384857,0.005753057689643045,0.0682253264988888,0.01457745081102287,1.3753629328470531,5.604027068751554,0.04249978842690716,0.0206407053547546
0.003,full56,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.1253102912185773,0.2754697279482804,0.03128649310355346,0.005759000203783529,0.06831622863641228,0.014578704810493942,1.2398465368971658,5.324327252035404,0.03974567900549033,0.018765385944733363
0.003,group5,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.23686639538886867,0.27555533290721285,0.03148753107566954,0.005739488393845679,0.0690721425468584,0.014615429404953176,1.4023687153614222,3.311589373248648,0.037134537790767176,0.02096764627213678
0.003,oracle8,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.10532695410759702,0.1584066588912869,0.02978177073754873,0.00607946537024003,0.06286142045912002,0.01511848609958178,0.4278941338864497,1.1309524018221657,0.08588147949062007,0.0452398377967557
0.01,fisher3,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.41142626329789395,0.9226718596014919,0.03331637070901244,0.0061636220342813275,0.06869261070404316,0.014951866039652486,7.824961491747876,82.61903075800531,0.084809053790198,0.051780056396733186
0.01,fisher8,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.41142626659303777,0.9226720319689867,0.03331632969267173,0.006163644523730166,0.06869247010015353,0.014951865212342619,7.824961491747875,82.6190307580053,0.0848090862316488,0.051780036682035256
0.01,full56,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.393672874762313,0.8824226275410261,0.03283790463346339,0.005972799625482189,0.06864629507953586,0.014892708448291877,6.881041772396232,72.53091044359618,0.07617749816412435,0.0448109753746866
0.01,group5,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.4218240734849295,0.7949185735014892,0.03343795949206948,0.006190711592302958,0.06945059925528337,0.014984990336775297,7.941120131106437,84.86617098417848,0.08073327283154257,0.05413973368762451
0.01,oracle8,10.5,0.5004171882244376,2.0,1.4153935488632154,29.5,17.332552099170236,0.3838906436369827,1.0550711741277465,0.03365218500516393,0.01024506166195353,0.07345000912216719,0.02414423861471333,1.1984263829580606,1.6988695359150716,0.12570418494263283,0.10572664632980182
