graph,mode,index,singular_value
10,multi_pwm,1,5.3729783188873865
10,multi_pwm,2,0.6721527356845801
10,multi_pwm,3,0.10895478606153293
10,multi_pwm,4,4.208115804904731e-06
10,multi_pwm,5,1.0498469983423067e-06
10,multi_pwm,6,5.920725711526027e-07
10,multi_pwm,7,9.331835241535279e-08
10,multi_pwm,8,2.205180084398958e-08
10,multi_pwm,9,1.2185095349389202e-09
10,multi_pwm,10,3.7038241654315886e-10
10,multi_pwm,11,1.386496809028961e-10
10,multi_pwm,12,1.1122502174598592e-10
10,multi_pwm,13,1.0602345516650891e-10
10,multi_pwm,14,9.79414283965737e-11
10,multi_pwm,15,8.827966615572973e-11
10,multi_pwm,16,7.581038561111774e-11
10,multi_pwm,17,6.428796561087533e-11
10,multi_pwm,18,5.900591340890846e-11
10,multi_pwm,19,3.7059832342299563e-11
10,multi_pwm,20,3.074743544955536e-11
10,multi_pwm,21,2.8198672487915553e-11
10,multi_pwm,22,2.564892738933705e-11
10,multi_pwm,23,2.202553324775354e-11
10,multi_pwm,24,1.733960378768573e-11
10,multi_pwm,25,1.5624275106345247e-11
10,multi_pwm,26,1.4038431957038648e-11
10,multi_pwm,27,1.3466930695231546e-11
10,multi_pwm,28,1.2150338883578657e-11
10,multi_pwm,29,1.1581141154458818e-11
10,multi_pwm,30,1.0709918933433336e-11
10,multi_pwm,31,9.989661675265168e-12
10,multi_pwm,32,9.736976090694193e-12
10,multi_pwm,33,9.086497053497793e-12
10,multi_pwm,34,8.186198630544987e-12
10,multi_pwm,35,7.863647983767106e-12
10,multi_pwm,36,6.7690231165789245e-12
10,multi_pwm,37,6.612860007398312e-12
10,multi_pwm,38,6.025130284931536e-12
10,multi_pwm,39,5.4300956018240685e-12
10,multi_pwm,40,4.481681217315322e-12
10,multi_pwm,41,4.2902653124735744e-12
10,multi_pwm,42,3.486362244607139e-12
10,multi_pwm,43,2.7145250733987626e-12
10,multi_pwm,44,2.586976026615404e-12
10,multi_pwm,45,2.21936442601711e-12
10,multi_pwm,46,1.7734011568759273e-12
10,multi_pwm,47,1.658144807937829e-12
10,multi_pwm,48,1.4350286565347285e-12
10,degenerate_pwm,1,5.047530020962682
10,degenerate_pwm,2,1.2345755246252907
10,degenerate_pwm,3,0.22735889572744705
10,degenerate_pwm,4,3.87293975085513e-06
10,degenerate_pwm,5,1.2415481292486324e-06
10,degenerate_pwm,6,2.931572194975415e-07
10,degenerate_pwm,7,8.804155526402389e-08
10,degenerate_pwm,8,1.7075323465723016e-08
10,degenerate_pwm,9,6.165620595197803e-10
10,degenerate_pwm,10,2.4168669852956337e-10
10,degenerate_pwm,11,1.498230830511469e-10
10,degenerate_pwm,12,1.3842203735567712e-10
10,degenerate_pwm,13,1.1774919994200764e-10
10,degenerate_pwm,14,9.873971761780732e-11
10,degenerate_pwm,15,8.426487935012417e-11
10,degenerate_pwm,16,8.33434867895105e-11
10,degenerate_pwm,17,6.367408802096154e-11
10,degenerate_pwm,18,5.978914867310484e-11
10,degenerate_pwm,19,5.89846733950441e-11
10,degenerate_pwm,20,3.184549559948365e-11
10,degenerate_pwm,21,1.9117617189413693e-11
10,degenerate_pwm,22,1.5883141214089388e-11
10,degenerate_pwm,23,1.152979918643387e-11
10,degenerate_pwm,24,9.025702349040668e-12
10,degenerate_pwm,25,1.8013809589503227e-12
10,degenerate_pwm,26,1.6291269038399765e-12
10,degenerate_pwm,27,1.536827584646355e-12
10,degenerate_pwm,28,1.4896911354646635e-12
10,degenerate_pwm,29,1.3848464225266054e-12
10,degenerate_pwm,30,1.2599364262376544e-12
10,degenerate_pwm,31,1.1573732266468859e-12
10,degenerate_pwm,32,1.0520008830323946e-12
10,degenerate_pwm,33,1.0303583455452234e-12
10,degenerate_pwm,34,9.82023598854465e-13
10,degenerate_pwm,35,8.404659393434254e-13
10,degenerate_pwm,36,7.550457476518255e-13
10,degenerate_pwm,37,6.554144647509185e-13
10,degenerate_pwm,38,6.33789812194854e-13
10,degenerate_pwm,39,5.306572704530951e-13
10,degenerate_pwm,40,5.153226671895333e-13
10,degenerate_pwm,41,4.4885257935432133e-13
10,degenerate_pwm,42,4.01949146451121e-13
10,degenerate_pwm,43,3.4725866466744324e-13
10,degenerate_pwm,44,3.170296229566002e-13
