scenario,added_cps_pf,cps_true_pf,ls_true_uh,cps_joint_pf,cps_joint_std_pf,ls_joint_uh,ls_joint_std_uh,cps_fixed_pf,cps_naive_pf,joint_error_pct,fixed_error_pct,naive_error_pct,current_prediction_error_pct
nominal,0.0,28.36,96.0,28.377199799885478,0.037840296047488425,95.99972123909465,0.000608444720869642,28.37684396180776,5.000004887808896,0.060648095505918494,0.05939337731933019,-82.3695173208431,0.060648095505918494
nominal,2.5,30.859999999999996,96.0,30.865807606784532,0.04166263879681307,95.9997427873812,0.001032259697200443,30.90165264173193,5.000006096931557,0.018819205393831143,0.13497291552797314,-83.79777674357888,0.018819205393831143
nominal,5.0,33.36,96.0,33.326043189016595,0.016701471995823388,95.99998727297694,0.0006055353601692653,33.3590962722013,5.000006334474803,-0.1017890017488152,-0.0027090161831550223,-85.01197141944003,-0.1017890017488152
nominal,10.0,38.36,96.0,38.36838698755181,0.04059708659718012,95.99955334700212,0.0009324526968111844,38.37345115069742,5.000006628616836,0.02186388829981491,0.03506556490464193,-86.96557187534714,0.02186388829981491
nominal,20.0,48.36,96.0,48.34048186982033,0.09644875196962437,95.9995103335469,0.0014514972922849523,48.372348899992375,5.000006242461998,-0.040360070677562886,0.025535359785721867,-89.66086384933415,-0.040360070677562886
hot_Rs_x1.4,0.0,28.36,96.0,28.361944461377707,0.041847621321017305,95.99945233218358,0.0010156032307778692,28.404996199604774,5.000005088051228,0.00685635182548498,0.15866078845125087,-82.36951661476999,0.00685635182548498
hot_Rs_x1.4,2.5,30.859999999999996,96.0,30.869707890978123,0.016681543874728585,95.9994007008553,0.0006433970557774997,30.890758869461532,5.00000603397159,0.03145784503605771,0.09967229248715544,-83.79777694759692,0.03145784503605771
hot_Rs_x1.4,5.0,33.36,96.0,33.33422351799637,0.025831625512614687,95.99950790514123,0.0007285146445206495,33.39413980063305,5.000006095759545,-0.07726763190536147,0.10233753187364908,-85.01197213501335,-0.07726763190536147
hot_Rs_x1.4,10.0,38.36,96.0,38.36527377134519,0.030680597013402238,95.99928775091017,0.0009115113953587649,38.37783574437802,5.000006665598602,0.01374810048276221,0.046495683988578215,-86.96557177894003,0.01374810048276221
hot_Rs_x1.4,20.0,48.36,96.0,48.36892776608851,0.03563912044384085,95.99942703795332,0.0008235489756301292,48.37490950047164,5.000006665598602,0.018461054773597285,0.030830232571626627,-89.66086297436186,0.018461054773597285
Ls_minus_5pct,0.0,28.36,91.19999999999999,28.33642931527112,0.0222804818646182,91.1999278620582,0.0006932865275224889,5.0,5.000005343529629,-0.08311242852214747,-82.36953455571228,-82.36951571392937,-0.08311242852214747
Ls_minus_5pct,2.5,30.859999999999996,91.19999999999999,30.85162831578797,0.027100667997458246,91.19944835117164,0.0005162103034324431,5.0,5.000005538023435,-0.0271279462476541,-83.79779650032404,-83.79777855468751,-0.0271279462476541
Ls_minus_5pct,5.0,33.36,91.19999999999999,33.33751676701937,0.035764517763821634,91.19987148046638,0.0005851744404100767,5.0,5.000005770794031,-0.06739578231602565,-85.01199040767386,-85.0119731091306,-0.06739578231602565
Ls_minus_5pct,10.0,38.36,91.19999999999999,38.34019431705238,0.05259190417434793,91.19888330328817,0.001293309666256203,5.0,5.000006665598602,-0.05163108171955184,-86.96558915537018,-86.96557177894003,-0.05163108171955184
Ls_minus_5pct,20.0,48.36,91.19999999999999,48.34557972110647,0.05330439324814213,91.19969859974877,0.0008543489177866738,5.0,5.000006665598602,-0.02981860813385381,-89.66087675765095,-89.66086297436186,-0.02981860813385381
Ls_plus_5pct,0.0,28.36,100.80000000000001,28.342678101642324,0.036449697732248605,100.79949654404835,0.0005443266209468389,90.0,5.000005106908297,-0.06107862608489168,217.34837799717914,-82.36951654827821,-0.06107862608489168
Ls_plus_5pct,2.5,30.859999999999996,100.80000000000001,30.840790990409783,0.039756508220112056,100.7996988482291,0.0017375794286758697,90.0,5.000006489241358,-0.062245656481571945,191.63966299416722,-83.79777547232223,-0.062245656481571945
Ls_plus_5pct,5.0,33.36,100.80000000000001,33.32378754822555,0.04761016360235241,100.79904084527534,0.0014505846957822443,90.0,5.000006484688676,-0.1085505149114095,169.7841726618705,-85.01197096915865,-0.1085505149114095
Ls_plus_5pct,10.0,38.36,100.80000000000001,38.34160177440301,0.03507077144406111,100.79923607707977,0.0007622228716138374,90.0,5.000006665598602,-0.04796200624866905,134.6193952033368,-86.96557177894003,-0.04796200624866905
Ls_plus_5pct,20.0,48.36,100.80000000000001,48.36818907632216,0.034184430992676526,100.7991425831251,0.0007262517631985651,90.0,5.000006277159762,0.016933573867164632,86.10421836228288,-89.66086377758526,0.016933573867164632
