scenario,added_cps_pf,repeat,cps_true_pf,ls_true_uh,cps_joint_pf,ls_joint_uh,cps_fixed_pf,cps_naive_pf,valid_frequency_count
nominal,0.0,1,28.36,96.0,28.413963512941915,95.99937861150896,28.384290099311823,5.000003747520125,2712
nominal,0.0,2,28.36,96.0,28.39171149996823,96.00014766642423,28.380671672197145,5.00000411214585,2714
nominal,0.0,3,28.36,96.0,28.304034312803747,96.00037328668208,28.333466244904514,5.00000441906035,2714
nominal,0.0,4,28.36,96.0,28.389502559601414,95.9996948101617,28.41319971298894,5.000004281516241,2712
nominal,0.0,5,28.36,96.0,28.386829534657632,95.99870536078507,28.378001985281482,5.000006215105344,2713
nominal,0.0,6,28.36,96.0,28.377157379339945,96.00002769900594,28.371434056162688,5.0000065515054715,2714
nominal,2.5,1,30.859999999999996,96.0,30.88509011656983,95.99963777565907,30.954950025127,5.000006258566923,2715
nominal,2.5,2,30.859999999999996,96.0,30.837871558472404,95.99954447386804,30.885631690541157,5.0000065881687705,2711
nominal,2.5,3,30.859999999999996,96.0,30.832916643264657,96.00123428942639,30.886837022439224,5.000006390868058,2712
nominal,2.5,4,30.859999999999996,96.0,30.934565236561784,95.99814947567815,30.88903578640823,5.00000586426685,2714
nominal,2.5,5,30.859999999999996,96.0,30.82624978972833,95.99948051236723,30.90202020409832,5.000005801749197,2712
nominal,2.5,6,30.859999999999996,96.0,30.878152296110194,96.00041019728836,30.891441121777678,5.000005677969537,2712
nominal,5.0,1,33.36,96.0,33.316834520780006,96.00011649423709,33.303821601761506,5.000006665598603,2713
nominal,5.0,2,33.36,96.0,33.32661031414856,95.99949383741075,33.36757960321738,5.000006665598603,2713
nominal,5.0,3,33.36,96.0,33.30469164891892,96.00038669823486,33.34545782411561,5.000006665598603,2714
nominal,5.0,4,33.36,96.0,33.33236583102121,96.00087460180971,33.40919815557997,5.000006240212964,2713
nominal,5.0,5,33.36,96.0,33.321544921426714,95.99920917841011,33.361685804304926,5.000006361365375,2714
nominal,5.0,6,33.36,96.0,33.35421189780415,95.99984282775915,33.366834644228376,5.000005408474665,2712
nominal,10.0,1,38.36,96.0,38.391880464211205,95.99898437714714,38.363596538126316,5.000006665598603,2713
nominal,10.0,2,38.36,96.0,38.32425989244921,96.00060040921419,38.374033524644915,5.000006665598603,2712
nominal,10.0,3,38.36,96.0,38.40312925706761,95.99849807289867,38.392903196335745,5.000006443708008,2714
nominal,10.0,4,38.36,96.0,38.33548628082059,96.00036662009933,38.379885838818566,5.000006665598603,2713
nominal,10.0,5,38.36,96.0,38.41825164990647,95.99868550533445,38.33761198553447,5.000006665598603,2713
nominal,10.0,6,38.36,96.0,38.33731438085574,96.00018509731903,38.39267582072449,5.000006665598603,2713
nominal,20.0,1,48.36,96.0,48.164464617559766,96.0021710433637,48.352942884037624,5.000006665598603,2712
nominal,20.0,2,48.36,96.0,48.408528153150236,95.99856983415502,48.379768414515354,5.000006665598603,2714
nominal,20.0,3,48.36,96.0,48.29964959028205,95.99988336639063,48.364053343162624,5.000006665598603,2712
nominal,20.0,4,48.36,96.0,48.35577164985245,95.99800826620857,48.35479843643297,5.000004126778972,2713
nominal,20.0,5,48.36,96.0,48.41377555521585,95.99920469992233,48.40160782989473,5.000006665598603,2714
nominal,20.0,6,48.36,96.0,48.400701652861606,95.9992247912411,48.38092249191089,5.000006665598603,2712
hot_Rs_x1.4,0.0,1,28.36,96.0,28.2945559964696,96.00129947019428,28.385877339690094,5.000003645702733,2713
hot_Rs_x1.4,0.0,2,28.36,96.0,28.34195677676913,95.99858820988139,28.403904088623417,5.000006149629365,2713
hot_Rs_x1.4,0.0,3,28.36,96.0,28.357704111599983,95.9993416336499,28.393715448768894,5.000006505835161,2713
hot_Rs_x1.4,0.0,4,28.36,96.0,28.376596980404678,95.9995959784855,28.38981940854063,5.0000042341820246,2714
hot_Rs_x1.4,0.0,5,28.36,96.0,28.418047465998068,95.99941850448634,28.444913940132906,5.000006461744243,2713
hot_Rs_x1.4,0.0,6,28.36,96.0,28.382805437024786,95.99847019640396,28.4117469718727,5.000003531213845,2714
hot_Rs_x1.4,2.5,1,30.859999999999996,96.0,30.863507648670293,95.99987642951497,30.865299528144657,5.000006625462967,2713
hot_Rs_x1.4,2.5,2,30.859999999999996,96.0,30.873604642277755,95.9986102518461,30.94615383089247,5.000005782552319,2712
hot_Rs_x1.4,2.5,3,30.859999999999996,96.0,30.887801507662417,95.99897240659793,30.872242605769205,5.000006665598603,2713
hot_Rs_x1.4,2.5,4,30.859999999999996,96.0,30.873402936316772,96.00038371044138,30.89760961896437,5.000005724798191,2712
hot_Rs_x1.4,2.5,5,30.859999999999996,96.0,30.839879569420685,95.99942235231721,30.91498888218545,5.000005768929877,2713
hot_Rs_x1.4,2.5,6,30.859999999999996,96.0,30.880051041520815,95.99913905441426,30.848258750813027,5.000005636487584,2712
hot_Rs_x1.4,5.0,1,33.36,96.0,33.363286167699364,95.9990246058758,33.42584935753245,5.000005513784605,2714
hot_Rs_x1.4,5.0,2,33.36,96.0,33.35453633213595,95.99942000614027,33.39540335764374,5.000004850005786,2714
hot_Rs_x1.4,5.0,3,33.36,96.0,33.33332585104152,95.99962538616182,33.337972589169915,5.000006464198652,2712
hot_Rs_x1.4,5.0,4,33.36,96.0,33.34352655326855,95.99867832755359,33.39242185832752,5.000006596110266,2714
hot_Rs_x1.4,5.0,5,33.36,96.0,33.31803057810874,96.00081548796894,33.413856974803146,5.000006665598603,2713
hot_Rs_x1.4,5.0,6,33.36,96.0,33.2926356257241,95.99948361714694,33.399334666321536,5.00000648485936,2713
hot_Rs_x1.4,10.0,1,38.36,96.0,38.38259712788491,95.99832197668698,38.363807268624456,5.000006665598603,2717
hot_Rs_x1.4,10.0,2,38.36,96.0,38.38818969652019,95.99957314746013,38.35476763891563,5.000006665598603,2712
hot_Rs_x1.4,10.0,3,38.36,96.0,38.354504376844275,95.99973256540426,38.36994001696011,5.000006665598603,2715
hot_Rs_x1.4,10.0,4,38.36,96.0,38.31358019986233,95.99993331103201,38.41580096366712,5.000006665598603,2713
hot_Rs_x1.4,10.0,5,38.36,96.0,38.35581736616439,96.0001876138616,38.37138019636094,5.000006665598603,2712
hot_Rs_x1.4,10.0,6,38.36,96.0,38.39695386079506,95.99797789101612,38.39131838173984,5.000006665598603,2712
hot_Rs_x1.4,20.0,1,48.36,96.0,48.3679558130488,96.00000205724109,48.39251258691723,5.000006665598603,2714
hot_Rs_x1.4,20.0,2,48.36,96.0,48.363394721741095,95.99963448295756,48.377129631394936,5.000006665598603,2712
hot_Rs_x1.4,20.0,3,48.36,96.0,48.306398298687036,96.00068161114218,48.366277471389395,5.000006665598603,2711
hot_Rs_x1.4,20.0,4,48.36,96.0,48.4151735226229,95.99894508102417,48.37858498054183,5.000006665598603,2712
hot_Rs_x1.4,20.0,5,48.36,96.0,48.3826575382396,95.99861701817325,48.353227480437866,5.000006665598603,2712
hot_Rs_x1.4,20.0,6,48.36,96.0,48.37798670219161,95.99868197718173,48.381724852148594,5.000006665598603,2713
Ls_minus_5pct,0.0,1,28.36,91.19999999999999,28.36613711652633,91.1995148894769,5.0,5.000005420742125,2713
Ls_minus_5pct,0.0,2,28.36,91.19999999999999,28.356213985840537,91.19955283533626,5.0,5.000005715557436,2714
Ls_minus_5pct,0.0,3,28.36,91.19999999999999,28.326225097413868,91.199480711461,5.0,5.000005002782223,2712
Ls_minus_5pct,0.0,4,28.36,91.19999999999999,28.3145671813271,91.20127564860191,5.0,5.000005080770492,2713
Ls_minus_5pct,0.0,5,28.36,91.19999999999999,28.34311428960542,91.19968550083763,5.0,5.00000564550769,2714
Ls_minus_5pct,0.0,6,28.36,91.19999999999999,28.312318220913465,91.20005758663545,5.0,5.00000519581781,2713
Ls_minus_5pct,2.5,1,30.859999999999996,91.19999999999999,30.877040138572966,91.19869675540716,5.0,5.000006665598603,2713
Ls_minus_5pct,2.5,2,30.859999999999996,91.19999999999999,30.810047169621665,91.19984431409537,5.0,5.000004199762269,2713
Ls_minus_5pct,2.5,3,30.859999999999996,91.19999999999999,30.870307816245816,91.19979673650832,5.0,5.000006395109877,2711
Ls_minus_5pct,2.5,4,30.859999999999996,91.19999999999999,30.844605219623137,91.19996560851318,5.0,5.000004894964987,2714
Ls_minus_5pct,2.5,5,30.859999999999996,91.19999999999999,30.87496851005037,91.19897922007591,5.0,5.000006359343229,2713
Ls_minus_5pct,2.5,6,30.859999999999996,91.19999999999999,30.832801040613877,91.19940747242988,5.0,5.0000047133616485,2712
Ls_minus_5pct,5.0,1,33.36,91.19999999999999,33.28141937784396,91.20028961621722,5.0,5.000006112283586,2713
Ls_minus_5pct,5.0,2,33.36,91.19999999999999,33.30883777773157,91.19953033162695,5.0,5.000006665598603,2713
Ls_minus_5pct,5.0,3,33.36,91.19999999999999,33.35441657693295,91.20006660874655,5.0,5.000006035325882,2712
Ls_minus_5pct,5.0,4,33.36,91.19999999999999,33.369059376894164,91.19941966608815,5.0,5.000003888425177,2712
Ls_minus_5pct,5.0,5,33.36,91.19999999999999,33.371263927135665,91.19919891009184,5.0,5.000006044884228,2712
Ls_minus_5pct,5.0,6,33.36,91.19999999999999,33.34010356557795,91.20072375002758,5.0,5.000005878246712,2713
Ls_minus_5pct,10.0,1,38.36,91.19999999999999,38.31239084694609,91.1997127833735,5.0,5.000006665598603,2713
Ls_minus_5pct,10.0,2,38.36,91.19999999999999,38.253927159318714,91.20088667283609,5.0,5.000006665598603,2712
Ls_minus_5pct,10.0,3,38.36,91.19999999999999,38.3807715986608,91.19774181969449,5.0,5.000006665598603,2712
Ls_minus_5pct,10.0,4,38.36,91.19999999999999,38.38093978910843,91.19928299117751,5.0,5.000006665598603,2714
Ls_minus_5pct,10.0,5,38.36,91.19999999999999,38.38633035724723,91.1977579820998,5.0,5.000006665598603,2713
