method,feature,target_Hz,predicted_Hz,errPct
paper_IC_table,f1_Zoc_peak,8500,8498.09444905592,-0.0224182464009038
paper_IC_table,f2_Zoc_valley,1040000,1040326.18126652,0.0313635833188891
paper_IC_table,f3_Zoc_peak,11000000,11280856.0393168,2.55323672106202
fit_IC_features,f1_Zoc_peak,8500,8481.80104921642,-0.214105303336178
fit_IC_features,f2_Zoc_valley,1040000,1038331.56346879,-0.160426589539823
fit_IC_features,f3_Zoc_peak,11000000,10981797.8627466,-0.165473975030909
paper_TC_table,f1_Zoc_peak,8500,8498.09444905592,-0.0224182464009038
paper_TC_table,fu_Hv_peak,1040000,1040326.18126652,0.0313635833188891
paper_TC_table,fzero_Hv_zero,6100000,6104230.6963672,0.0693556781508426
fit_TC_features,f1_Zoc_peak,8500,8481.80104921642,-0.214105303336178
fit_TC_features,fu_Hv_peak,1040000,1038331.56346879,-0.160426589539823
fit_TC_features,fzero_Hv_zero,6100000,6104230.6963672,0.0693556781508426
formula_IC_features,f1_Zoc_peak,8500,8498.09444905592,-0.0224182464009038
formula_IC_features,f2_Zoc_valley,1040000,1040326.18126652,0.0313635833188891
formula_IC_features,f3_Zoc_peak,11000000,11280856.0393168,2.55323672106202
formula_TC_features,f1_Zoc_peak,8500,8498.09444905592,-0.0224182464009038
formula_TC_features,fu_Hv_peak,1040000,1040326.18126652,0.0313635833188891
formula_TC_features,fzero_Hv_zero,6100000,6104230.6963672,0.0693556781508426
