method,feature,target_Hz,estimated_Hz,errPct
paper_TC_reference,f1,8500,8500,0
paper_TC_reference,fu,1040000,1040000,0
paper_TC_reference,fzero,6100000,6100000,0
single_steep_pulse,f1,8500,8614.51769168375,1.34726696098531
single_steep_pulse,fu,1040000,1040748.77442961,0.0719975413082508
single_steep_pulse,fzero,6100000,3003642.0669597,-50.7599661154148
random_prbs_edges,f1,8500,22119.2771781757,160.226790331479
random_prbs_edges,fu,1040000,1040748.77442961,0.0719975413082508
random_prbs_edges,fzero,6100000,6491353.33608189,6.41562846035881
targeted_binary_pwm,f1,8500,8198.25675213763,-3.54992056308665
targeted_binary_pwm,fu,1040000,1040748.77442961,0.0719975413082508
targeted_binary_pwm,fzero,6100000,6092606.79932295,-0.121200011099231
swept_binary_pwm,f1,8500,8563.47103332557,0.746718039124351
swept_binary_pwm,fu,1040000,1040748.77442961,0.0719975413082508
swept_binary_pwm,fzero,6100000,5388398.54484219,-11.6655976255379
