"relative_path","pages","bytes","sha256"
"00_综合与索引\实验报告PDF汇总索引_20260908.pdf","3","116118","8AE586E8576BEB3EF876D3C4EA86FE217865A96AD93E24D76A21055AB60CC957"
"00_综合与索引\综合报告_广义全耦合图模型与GNN复杂参数辨识.pdf","19","2174153","7199D30439F777EA4F178A212738305B46DF2448D68F2DBCBE8BC25FD9CF7D19"
"00_综合与索引\综合报告_梯形矩阵与四端口Simulink协同建模.pdf","25","2278658","CBDD40BC898D9CF449EE684F06212E5F41DA8B179F6C1E77D16F4D87782AAF7A"
"01_Fisher与预实验01-09\PRE-001-009_在线化实验一至九总报告.pdf","18","1136865","1F524A849DABDBF5E9E76FA15336175EC86CBE9E7A73C677D916A0AE18BA81E3"
"01_Fisher与预实验01-09\PRE-005_Cps在线辨识与共模电流工程闭环报告.pdf","25","2523624","3A60E252804542372CFBC420BD9E06182F5DACDA1F6AF1C9463FB1156E3473C6"
"01_Fisher与预实验01-09\PRE-007_高频变压器在线辨识实验报告.pdf","28","2303685","3793061D1B276F76979110B0F347FEC6DD9223041703DA85FABE6C79AE1D709A"
"01_Fisher与预实验01-09\PRE-008_开关状态DAB先导实验报告.pdf","31","2678069","8983B8402CA83C9309F9C64D2A13F3349290D97BB2A7F293CA80317D5557BE7C"
"01_Fisher与预实验01-09\PRE-009_多端口在线辨识与AI残差学习实验报告.pdf","42","3022113","8B0B4209196C5A0EBBB19490714C03370E57AD0687B2E87C19DB9DEACA82DD84"
"01_Fisher与预实验01-09\PRE-FISHER_可辨识性分析工作汇报_20260707.pdf","35","1771845","99EA7989C0B36B16405FFBF13851CDE992E876E2A4B42247035C7FC001E3DD92"
"02_EXP010-016\EXP-010_四分段矩阵网络与空间可辨识性阶段报告.pdf","6","158441","477B7197FFDDD387786BDE755F7B50C7DC87DAB5F03C63108169D17E9C1B974A"
"02_EXP010-016\EXP-011_分段梯形网络高频变压器_Simscape矩阵验证报告.pdf","14","665753","2A9B5A7744A8ED6DE7D4451E71642E1F09451EACE16418C6746A49FE2A584E95"
"02_EXP010-016\EXP-012_高频变压器分段策略与内部电压保持实验报告.pdf","9","175892","AEDD0424FC0A19C6F3B771C56C2BA2B38294FF056313ABC6B9FE7E65E1B08262"
"02_EXP010-016\EXP-013_参数化四端子分段高频变压器阶段报告.pdf","4","111801","00A32BD9E602B8CEB3B690EE3C16D6ECD1B01539F19CE73DFA5EF08C92294574"
"02_EXP010-016\EXP-014_DAB开关级回归实验报告.pdf","5","227002","8D5F3D79D801A158CEFBE2C34A57FFF9C22A325BC7A81883E506B686F9A92E3F"
"02_EXP010-016\EXP-015_HFT全耦合图物理实验报告.pdf","9","218275","FFEA6A55D8D335A45B40A35C96E40CF15B6DD03F2CEF685767D6F32380C177A6"
